size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
5	6	90	3	439.0	2.7038599	1 6 11 12 13 18 23 24 25 
5	6	90	4	378.0	1.0806425	1 6 11 12 13 18 23 24 25 
5	6	90	5	427.0	2.7551372	1 2 7 12 17 22 23 24 25 
5	6	90	6	424.0	1.5548147	1 6 7 8 13 18 23 24 25 
5	6	90	7	423.0	2.8400025	1 6 7 12 13 14 19 20 25 
5	6	90	8	452.0	2.7680327	1 6 7 8 9 14 15 20 25 
5	6	90	9	387.0	1.7614014	1 2 7 8 13 18 19 20 25 
6	2	30	0	48.0	0.1189283	1 7 8 14 20 21 27 28 29 30 36 
6	2	30	1	44.0	0.0824449	1 7 8 9 10 16 22 23 29 35 36 
6	2	30	2	43.0	0.0641454	1 2 8 9 10 11 17 18 24 30 36 
6	2	30	3	44.0	0.0474765	1 2 3 4 10 16 22 28 29 30 36 
6	2	30	4	48.0	0.128345	1 7 13 19 20 26 27 28 29 30 36 
6	2	30	5	45.0	0.0801889	1 2 3 9 10 16 22 28 34 35 36 
6	2	30	6	50.0	0.0844987	1 7 13 14 15 16 17 23 24 30 36 
6	2	30	7	44.0	0.068416	1 2 8 14 20 26 27 28 29 35 36 
6	2	30	8	49.0	0.1641925	1 7 8 9 10 16 22 23 24 30 36 
6	2	30	9	42.0	0.0554365	1 7 13 14 20 21 27 28 29 35 36 
6	2	60	0	96.0	0.1361867	1 2 3 4 10 16 22 23 29 35 36 
6	2	60	1	82.0	0.1509506	1 2 3 9 10 16 22 23 24 30 36 
6	2	60	2	92.0	0.1205934	1 7 13 14 20 26 32 33 34 35 36 
6	2	60	3	88.0	0.1089149	1 2 8 9 15 21 22 23 29 35 36 
6	2	60	4	87.0	0.1161341	1 2 3 9 15 21 22 28 34 35 36 
6	2	60	5	98.0	0.22232	1 2 3 9 15 21 22 28 29 35 36 
6	2	60	6	91.0	0.2332724	1 7 8 9 15 16 22 23 29 30 36 
6	2	60	7	92.0	0.1876737	1 2 8 9 10 11 17 23 29 35 36 
6	2	60	8	84.0	0.2803083	1 2 3 4 10 11 12 18 24 30 36 
6	2	60	9	88.0	0.2957152	1 7 13 14 15 21 27 33 34 35 36 
6	2	90	0	123.0	0.2967206	1 7 13 14 20 21 22 28 29 35 36 
6	2	90	1	130.0	0.467116	1 2 8 9 15 21 27 28 34 35 36 
6	2	90	2	119.0	0.4691302	1 7 8 14 15 21 27 28 29 35 36 
6	2	90	3	107.0	0.6087909	1 2 8 9 15 16 22 28 34 35 36 
6	2	90	4	133.0	0.1615474	1 2 8 14 20 21 22 28 34 35 36 
6	2	90	5	129.0	0.134241	1 7 8 14 20 21 22 28 29 30 36 
6	2	90	6	128.0	0.4051937	1 7 8 14 15 16 22 23 29 30 36 
6	2	90	7	118.0	0.3254407	1 7 8 14 15 21 27 28 34 35 36 
6	2	90	8	112.0	0.1706464	1 2 8 14 20 21 27 33 34 35 36 
6	2	90	9	124.0	0.2492893	1 7 8 9 15 21 22 23 29 30 36 
